08-29 11:13:26.242  2628  2647 I godot   : TEL stick=(0.00,0.00) vel=(56.73,461.33) face=0.00 camY=0.00 camP=-0.00 extra=0.90
08-29 11:13:46.780  2628  2647 I godot   : TEL stick=(0.00,0.00) vel=(0.00,0.00) face=0.00 camY=0.00 camP=0.00 extra=0.00
08-29 11:13:47.291  2628  2647 I godot   : TEL stick=(0.00,0.00) vel=(0.00,0.00) face=0.00 camY=0.00 camP=0.00 extra=0.00
08-29 11:13:47.802  2628  2647 I godot   : TEL stick=(0.00,0.00) vel=(0.00,0.00) face=0.00 camY=0.00 camP=0.00 extra=0.00
08-29 11:13:48.314  2628  2647 I godot   : TEL stick=(0.00,0.00) vel=(0.00,0.00) face=0.00 camY=0.00 camP=0.00 extra=0.00
08-29 11:13:48.824  2628  2647 I godot   : TEL stick=(0.00,0.00) vel=(0.00,0.00) face=0.00 camY=0.00 camP=0.00 extra=0.00
08-29 11:13:49.321  2628  2647 I godot   : TEL stick=(0.00,0.00) vel=(0.00,0.00) face=0.00 camY=0.00 camP=0.00 extra=0.00
08-29 11:13:49.847  2628  2647 I godot   : TEL stick=(0.00,0.00) vel=(0.00,0.00) face=0.00 camY=0.00 camP=0.00 extra=0.00
08-29 11:13:50.358  2628  2647 I godot   : TEL stick=(0.00,0.00) vel=(0.00,0.00) face=0.00 camY=0.00 camP=0.00 extra=0.00
08-29 11:13:50.870  2628  2647 I godot   : TEL stick=(0.00,0.00) vel=(0.00,0.00) face=0.00 camY=0.00 camP=0.00 extra=0.00
08-29 11:13:51.381  2628  2647 I godot   : TEL stick=(0.00,0.00) vel=(0.00,0.00) face=0.00 camY=0.00 camP=0.00 extra=0.00
08-29 11:13:51.891  2628  2647 I godot   : TEL stick=(0.00,0.00) vel=(0.00,0.00) face=0.00 camY=0.00 camP=0.00 extra=0.00
08-29 11:13:52.402  2628  2647 I godot   : TEL stick=(0.00,0.00) vel=(0.00,0.00) face=0.00 camY=0.00 camP=0.00 extra=0.00
08-29 11:13:52.914  2628  2647 I godot   : TEL stick=(0.00,0.00) vel=(0.00,0.00) face=0.00 camY=0.00 camP=0.00 extra=0.00
08-29 11:13:53.425  2628  2647 I godot   : TEL stick=(0.00,0.00) vel=(0.00,0.00) face=0.00 camY=0.00 camP=0.00 extra=0.00
08-29 11:13:53.935  2628  2647 I godot   : TEL stick=(0.00,0.00) vel=(0.00,0.00) face=0.00 camY=0.00 camP=0.00 extra=0.00
08-29 11:13:54.447  2628  2647 I godot   : TEL stick=(0.00,0.00) vel=(0.00,0.00) face=0.00 camY=0.00 camP=0.00 extra=0.00
08-29 11:13:54.959  2628  2647 I godot   : TEL stick=(0.00,0.00) vel=(0.00,0.00) face=0.00 camY=0.00 camP=0.00 extra=0.00
08-29 11:13:55.470  2628  2647 I godot   : TEL stick=(0.00,0.00) vel=(0.00,0.00) face=0.00 camY=0.00 camP=0.00 extra=0.00
08-29 11:13:55.980  2628  2647 I godot   : TEL stick=(0.00,0.00) vel=(0.00,0.00) face=0.00 camY=0.00 camP=0.00 extra=0.00
08-29 11:13:56.491  2628  2647 I godot   : TEL stick=(0.00,0.00) vel=(0.00,0.00) face=0.00 camY=0.00 camP=0.00 extra=0.00
08-29 11:13:57.004  2628  2647 I godot   : TEL stick=(0.00,0.00) vel=(0.00,0.00) face=0.00 camY=0.00 camP=0.00 extra=0.00
08-29 11:13:57.514  2628  2647 I godot   : TEL stick=(0.00,0.00) vel=(0.00,0.00) face=0.00 camY=0.00 camP=0.00 extra=0.00
